Priority Buckets,Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks,Pri: Low Confidence,Pri: Medium Confidence,Pri: Multi-Chain Distributor,Pri: Negative NSV/Cont,Pri: Name Variant (Merge Candidate),Validation Status,Validated Chain,Validated Account / Bill-To,Mapping Action,Validation Remarks,Validated By,Validated Date
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,BALAJI ASSOCIATES Distributor MT,BALAJI ASSOCIATES Distributor MT,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),12,Apr'25–Apr'26,91.15,14.7,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Sep'25–Sep'25,0.01,0.01,0.01,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,SAI SAACHI ASSOCIATES-MT-OR,SAI SAACHI ASSOCIATES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,Sep'25–Sep'25,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),10,Apr'25–May'26,75.08,15.81,97.46,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,17.7,3.85,33.6,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),8,Apr'25–May'26,22.3,4.74,57.85,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,30.64,6.87,52.56,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Jul'25,6.88,3.67,13.79,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,28.52,9.63,42.04,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Jul'25,2.54,0.49,5.82,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Sarvana,Sri Lalitha Enterprises,Sri Lalitha Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),1,Nov'25–Nov'25,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Sarvana,Sri Lalitha Enterprises,Sri Lalitha Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Nov'25,63.29,44.58,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,SastaSundar,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,2.18,0.4,5.73,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,SastaSundar,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Oct'25–Nov'25,2.17,0.54,3.79,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Sohum Shoppe,SC BUSINESS COMBINE_MT,SC BUSINESS COMBINE,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),2,Oct'25–Apr'26,54.43,8.85,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),2,May'25–Jun'25,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,May'25–Dec'25,32.16,12.64,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,Feb'26–Feb'26,50.29,50.29,50.29,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,Chhabra Traders,Chhabra Traders,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),2,Sep'25–Jan'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,Chhabra Traders,Chhabra Traders,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,Jul'25–May'26,30.53,10.97,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,D.L. Sales - MT,D.L. Sales,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),5,Apr'25–Sep'25,46.99,32.44,67.26,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,20.32,6.25,35.11,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Apr'25–May'26,8.03,1.59,42.33,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Feb'26–Feb'26,2.5,2.5,2.5,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Spencers,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,Jan'26–Jan'26,1.56,1.56,1.56,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Sumo Save,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Mar'26–May'26,5.5,3.19,8.43,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,V-Mart,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),7,Apr'25–Mar'26,2.72,0.63,4.53,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,V-Mart,SAI SAACHI ASSOCIATES-MT-OR,SAI SAACHI ASSOCIATES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),8,Jun'25–Jan'26,88.04,11.27,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,V-Mart,SC BUSINESS COMBINE_MT,SC BUSINESS COMBINE,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,May'25–Oct'25,96.9,87.61,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vijetha,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Jul'25,5.17,3.79,7.2,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,BALAJI ASSOCIATES Distributor MT,BALAJI ASSOCIATES Distributor MT,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),12,Apr'25–May'26,19.68,0.41,41.41,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),8,Apr'25–Mar'26,28.44,1.41,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,Chhabra Traders,Chhabra Traders,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Jul'25–Apr'26,25.44,1.41,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),10,Apr'25–May'26,4.13,0.08,12.8,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,MANOJ SOAP AGENCY-MT,MANOJ SOAP AGENCY,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Apr'26–Apr'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,SAI SAACHI ASSOCIATES-MT-OR,SAI SAACHI ASSOCIATES,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,Dec'25–Dec'25,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,SAI SAACHI ASSOCIATES-MT-OR,SAI SAACHI ASSOCIATES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),5,Dec'25–May'26,70.87,6.95,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,SAI SAACHI ASSOCIATES-MT-OR,SAI SAACHI ASSOCIATES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Dec'25–Mar'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,SRIJAN ENTERPRISES-MT-JH,SRIJAN ENTERPRISES,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,Dec'25–Dec'25,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,SRIJAN ENTERPRISES-MT-JH,SRIJAN ENTERPRISES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),7,Jul'25–Mar'26,73.73,2.68,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,SRIJAN ENTERPRISES-MT-JH,SRIJAN ENTERPRISES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),3,Dec'25–Apr'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Dec'25–May'26,8.48,3.14,19.09,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Apr'25–May'26,0.1,0.02,0.27,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
